id,food,image,instructions,food_type,Calories,FatContent,ProteinContent,glutenFree,dairyFree,sourceUrl,ingredients,food_cluster
156,Chicken with Green Olives,https://img.spoonacular.com/recipes/349-556x370.jpg,"Process anchovy fillets and 3/4 cup green olives in a food processor until chopped, stopping to scrape down sides; set aside.                                                                                                Sprinkle chicken with salt and pepper. Brown chicken on all sides in hot oil in large skillet over medium-high heat. Remove chicken, reserving 2 teaspoons drippings in skillet; add garlic, and saut 1 minute. Add white wine and vinegar; cook 2 minutes stirring to loosen browned particles. Stir in anchovy mixture and 2 tablespoons water.                                                                                                Return chicken to skillet, turning to coat pieces in sauce.                                                                                                Cook, covered, over medium-low heat 45 minutes or until chicken is tender. (Stir in additional water, if needed.)                                                                                                Add 3 tablespoons lemon juice, Italian parsley, and remaining 3/4 cup green olives; cook 1 to 2 more minutes. Serve immediately.",Non-Veg,3892.1,94.2,110.7,True,True,http://www.myrecipes.com/recipe/chicken-with-green-olives-10000000436233/,"['anchovy', 'anchovy', 'chicken', 'legs', 'wine', 'garlic', 'cloves', 'olives', 'lemon', 'juice', 'olive', 'oil', 'parsley', 'pepper', 'red', 'wine', 'vinegar', 'salt', 'water']",0
157,Lime Caesar Salad,https://img.spoonacular.com/recipes/350-556x370.jpg,"Combine first 3 ingredients in a large wooden bowl. Press with the back of a spoon to make a paste. Stir in next 5 ingredients.                                                                                                 Whisk in 1/4 cup extra-virgin olive oil in a thin, steady stream. Continue to whisk to form a thick dressing. Stir in 2 tablespoons Parmesan cheese. Add romaine leaves, tossing to coat.                                                                                                 Arrange lettuce on 2 serving plates; sprinkle with cracked pepper and remaining 2 tablespoons Parmesan cheese, and serve with toasted baguette slices.",Non-Veg,375.0,21.1,7.6,False,False,http://www.myrecipes.com/recipe/lime-caesar-salad-10000001981785/,"['anchovy', 'dijon', 'mustard', 'baguette', 'garlic', 'cloves', 'key', 'lime', 'juice', 'mayonnaise', 'olive', 'oil', 'olive', 'oil', 'parmesan', 'cheese', 'freshly', 'cracked', 'pepper', 'romaine', 'lettuce', 'hearts', 'worcestershire', 'sauce']",1
158,Green Olive Sauce,https://img.spoonacular.com/recipes/351-556x370.jpg,"Directions            In a small bowl, combine the parsley, cornichons, oil, olives, anchovy (if using), vinegar, mustard, capers, and garlic.",Non-Veg,237.0,17.4,3.0,True,True,http://www.realsimple.com/food-recipes/browse-all-recipes/green-olive-sauce-00100000064386/index.html,"['anchovy', 'anchovy', 'capers', 'cornichons', 'dijon', 'mustard', 'flat', 'leaf', 'parsley', 'garlic', 'olives', 'olive', 'oil', 'red', 'wine', 'vinegar']",0
159,Pumpkin Pasta,https://img.spoonacular.com/recipes/352-556x370.jpg,"Preheat oven to 425 degrees. Peel pumpkin and cut into 1-inch chunks (about 4 cups). Toss with 2 tablespoons of the olive oil, 1/2 teaspoon salt, and the honey. Roast on a baking sheet until tender, about 45 minutes.",Non-Veg,444.6,28.8,17.6,False,False,http://www.wholeliving.com/130729/pumpkin-pasta,"['anchovies', 'anchovies', 'garlic', 'honey', 'kosher', 'salt', 'and', 'pepper', 'olive', 'oil', 'parmesan', 'cheese', 'parsley', 'sugar', 'pumpkin', 'walnuts', 'whole', 'grain', 'pasta']",3
160,Treviso Caesar Salad,https://img.spoonacular.com/recipes/353-556x370.jpg,"In a small bowl, combine the sourdough pieces, olive oil, thyme, and salt and toss. Spread the croutons on a baking sheet and bake until golden, about 10 minutes, shaking the pan once or twice.",Non-Veg,433.4,22.4,10.7,False,False,http://www.wholeliving.com/130374/treviso-caesar-salad,"['anchovy', 'anchovy', 'dijon', 'mustard', 'dijon', 'mustard', 'thyme', 'thyme', 'garlic', 'clove', 'kosher', 'salt', 'kosher', 'salt', 'and', 'pepper', 'lemon', 'juice', 'lemon', 'juice', 'olive', 'oil', 'olive', 'oil', 'olive', 'oil', 'parmigiano', 'reggiano', 'cheese', 'parmigiano', 'reggiano', 'cheese', 'radicchio', 'red', 'wine', 'vinegar', 'red', 'wine', 'vinegar', 'sourdough', 'rolls']",1
161,Caesar Salad with Pancetta,https://img.spoonacular.com/recipes/354-556x370.jpg,"In a bowl beat the lime juice into the softly boiled egg yolk.                                  Add the crushed garlic.                                  Add the finely-chopped anchovies.                                  Add black pepper.                                  Gradually whisk in the oil.                                  Add the Parmigiano.                                  Taste. If you need salt, add it now.                                   To the bowl, add the Romaine and toss well with your hands.                                  Lick your fingers.                                  In the same pan in which the pancetta crisped, toast the torn-up pieces of sourdough over medium heat. When crispy, rub each piece lightly with the whole garlic clove. Toss over salad.                                  Add pieces of crispy pancetta.                                  Enjoy with some cold, fruity white wine.",Non-Veg,42.0,2.0,0.6,False,False,http://www.food52.com/recipes/4595_caesar_salad_with_pancetta,"['anchovy', 'fillets', 'anchovy', 'fillets', 'bell', 'pepper', 'yolk', 'from', 'a', 'lightly', 'egg', 'extra', 'virgin', 'olive', 'oil', 'garlic', 'cloves', 'juice', 'of', 'lime', 'pancetta', 'parmigiano', 'romaine', 'lettuce', 'head', 'salt', 'sourdough', 'bread', 'garlic', 'clove']",1
162,Hanger Steak with Herb-Nut Salsa,https://img.spoonacular.com/recipes/357-556x370.jpg,"Preheat the oven to 375. Toast the hazelnuts in a pie plate for 12 minutes, or until the skins are blistered. Transfer the nuts to a kitchen towel; let cool slightly, then rub off the skins. Finely chop the nuts and transfer them to a bowl. Add the parsley, chives, tarragon, chervil, anchovies, capers and shallot. Stir in the vinegar and the 3/4 cup of oil and season with salt and pepper.                                                                                                Light a grill or preheat a grill pan. Brush the steaks with oil and season generously with salt and pepper. Grill over moderately high heat, turning occasionally, about 12 minutes for medium-rare meat. Let rest for 5 minutes. Slice the meat across the grain and serve with the salsa.",Non-Veg,316.9,15.9,2.3,True,True,http://www.myrecipes.com/recipe/hanger-steak-with-herb-nut-salsa-10000001928162/,"['capers', 'chervil', 'chives', 'flat', 'leaf', 'parsley', 'hazelnuts', 'oil', 'packed', 'anchovy', 'oil', 'packed', 'anchovy', 'olive', 'oil', 'salt', 'and', 'pepper', 'shallot', 'sherry', 'vinegar', 'hanger', 'steaks', 'tarragon']",0
163,Garlic Caesar Salad,https://img.spoonacular.com/recipes/360-556x370.jpg,"Mix mayonnaise, Parmesan cheese, lemon juice, anchovies, garlic, mustard and Worcestershire sauce in small bowl until well blended. Stir in milk. Refrigerate dressing until ready to use.To serve, toss lettuce and croutons in large bowl. Add dressing; toss to coat well. Sprinkle with black peppercorn grinder and additional Parmesan cheese, if desired.",Non-Veg,349.2,18.3,3.2,True,False,http://www.mccormick.com/Recipes/Salads/Garlic-Caesar-Salad.aspx,"['to', '2', 'anchovy', 'to', '2', 'anchovy', 'croutons', 'dijon', 'mustard', 'dijon', 'mustard', 'garlic', 'garlic', 'made', 'from', 'garlic', 'lemon', 'juice', 'lemon', 'juice', 'mayonnaise', 'milk', 'milk', 'parmesan', 'cheese', 'peppercorn', 'grinder', 'torn', 'romaine', 'lettuce', 'torn', 'romaine', 'lettuce', 'worcestershire', 'sauce', 'worcestershire', 'sauce']",1
164,Penne Puttanesca,https://img.spoonacular.com/recipes/361-556x370.jpg,"In a saucepan over medium heat, warm the olive oil. Add the onion and garlic and saut, stirring occasionally, until tender and translucent, 3 to 5 minutes.Add the tomatoes, olives, capers, anchovies and red pepper flakes, bring to a simmer and reduce the heat to medium-low. Simmer until the tomatoes are tender and begin to break down, 25 to 30 minutes. Season with salt and pepper and stir in the parsley. Keep the sauce warm.Bring a large pot two-thirds full of water to a boil. Add salt and the pasta and cook according to the package instructions until al dente (tender but firm to the bite). Drain the pasta, transfer to a large bowl and add the puttanesca sauce; toss gently to mix. Divide the pasta among individual bowls and serve immediately.",Non-Veg,83.5,3.1,1.2,False,True,http://www.williams-sonoma.com/recipe/penne-puttanesca.html,"['cured', 'anchovy', 'fillets', 'cured', 'anchovy', 'fillets', 'capers', 'flat', 'leaf', 'parsley', 'garlic', 'cloves', 'olive', 'oil', 'gaeta', 'olives', 'penne', 'pasta', 'plum', 'tomatoes', 'pepper', 'flakes', 'salt', 'and', 'pepper', 'onion']",3
165,Pissaladiere,https://img.spoonacular.com/recipes/362-556x370.jpg,"PreparationMake crust:                                        Mix flour and salt in processor. Add butter and oil. Using on/off turns, process until mixture resembles coarse meal. Using on/off turns, mix in enough water 1 tablespoon at a time to form moist clumps. Gather dough into ball; flatten into disk. Wrap in plastic and chill at least 2 hours.                                    Make filling:                                        Heat oil in heavy large skillet over medium-low heat. Add onions, garlic, bay leaf and thyme; stir to blend. Cover and cook until onions are very tender, stirring occasionally, about 45 minutes. Uncover and saut until most liquid evaporates and onions are golden, about 10 minutes longer. Stir in capers. Season mixture with salt and pepper. Cool completely; discard bay leaf. (Dough and filling can be prepared 1 day ahead. Keep dough chilled. Cover and chill filling. Let dough soften slightly at room temperature before rolling out.)                                                                            Preheat oven to 425F. Lightly oil large baking sheet. Roll out dough on floured surface to 11-inch round. Transfer dough to prepared sheet. Crimp edges of dough to form stand-up border. Spread filling evenly over dough. Arrange olives and anchovies decoratively atop filling.                                                                            Bake pissaladire until crust is crisp and golden, about 30 minutes. Transfer to platter and serve.",Non-Veg,155.2,4.5,2.4,False,False,http://www.epicurious.com/recipes/food/views/Pissaladiere-101620,"['all', 'purpose', 'flour', 'anchovy', 'anchovy', 'bay', 'leaf', 'capers', 'thyme', 'garlic', 'cloves', 'olive', 'oil', 'olive', 'oil', 'niçois', 'olives', 'onions', 'salt', 'butter', 'water']",3
166,Garlicky Caesar Salad,https://img.spoonacular.com/recipes/363-556x370.jpg,"In a blender, combine the mayonnaise with the 3 tablespoons of grated pecorino, 1 anchovy and the water, vinegar, garlic, Worcestershire and Tabasco. Process until smooth. Season with white pepper.                                              In a large salad bowl, toss the romaine with the dressing and season with black pepper. Garnish with pecorino shavings and anchovy fillets and serve right away.",Non-Veg,2867.8,120.7,47.4,True,False,http://www.foodandwine.com/recipes/garlicky-caesar-salad-frankies,"['anchovy', 'anchovy', 'pepper', 'garlic', 'clove', 'hearts', 'of', 'romaine', 'mayonnaise', 'pecorino', 'red', 'wine', 'vinegar', 'tabasco', 'water', 'pepper', 'worcestershire', 'sauce']",1
167,Caesar Salad Spears,https://img.spoonacular.com/recipes/364-556x370.jpg,"Preheat the oven to 350. In a medium bowl, toss the bread with 2 tablespoons of the olive oil and season with salt and pepper. Spread the bread on a baking sheet and toast for about 10 minutes, stirring once, until golden and crisp.                                              Meanwhile, in the same bowl, using a spoon, mash the anchovies to a paste with the garlic and a pinch of salt. Whisk in the mayonnaise, lemon zest and lemon juice, then whisk in the remaining 2 tablespoons of olive oil and season with salt and pepper. Stir in the 1/4 cup of grated cheese.                                              Trim the endives and remove the 60 largest leaves from 6 of the heads. Stack the leaves and trim them to about 4 inches. Thinly slice the remaining endive, along with the trimmings of the 6 other heads (you should have about 3 cups), and toss with the dressing. Spoon the salad onto each spear and garnish with the croutons and grated cheese. Serve immediately.",Non-Veg,1833.6,170.7,25.1,True,False,http://www.foodandwine.com/recipes/caesar-salad-spears,"['anchovy', 'anchovy', 'belgian', 'endives', 'garlic', 'clove', 'kosher', 'salt', 'lemon', 'juice', 'lemon', 'zest', 'mayonnaise', 'olive', 'oil', 'parmigiano', 'reggiano', 'cheese', 'diced', 'bread']",1
168,Balsamic Caesar Salad,https://img.spoonacular.com/recipes/365-556x370.jpg,"In a mini food processor, combine the anchovies with the vinegar, mayonnaise, Worcestershire sauce, garlic and pepper; process until finely chopped. With the machine on, add the olive oil in a steady stream. Add the cheese and pulse just until combined.                                              In a bowl, toss the lettuce, onion and croutons with half of the dressing. Add the remaining dressing, toss well and serve.",Non-Veg,779.0,61.9,11.6,True,False,http://www.foodandwine.com/recipes/balsamic-caesar-salad,"['flat', 'anchovies', 'flat', 'anchovies', 'balsamic', 'vinegar', 'parmesan', 'croutons', 'garlic', 'mayonnaise', 'olive', 'oil', 'pecorino', 'romano', 'cheese', 'pepper', 'onion', 'romaine', 'lettuce', 'worcestershire', 'sauce']",1
169,Twin Pissaladières,https://img.spoonacular.com/recipes/366-556x370.jpg,"In a small bowl, stir the yeast into the water and set aside until foamy, about 5 minutes. Put 1 1/2 cups of the flour in a large bowl and make a well in the center. Add the egg and olive oil to the well and start to incorporate the flour. As you mix, stir in the dissolved yeast. Continue mixing until a supple bread dough forms; you may need to add a little more flour or water as you mix.                                               Transfer the dough to a lightly floured work surface and knead for a few minutes, until silky smooth. Transfer the dough to a lightly oiled bowl, cover lightly with plastic wrap and set aside while you make the topping.                                              In a heavy saucepan or casserole, cook the onions and garlic in the olive oil over low heat, stirring often, until thoroughly softened and lightly golden, about 20 minutes. Add the chopped tomatoes and cook, stirring often, until the mixture is very thick, about 15 minutes. Season with salt and pepper and let cool.                                              Preheat the oven to 400. Divide the dough into 2 pieces and roll each piece out to an 8-inch round about 1/4 inch thick. (The rounds need not be regular in shape; in fact, irregularity is part of the charm.) Transfer each round to a lightly oiled cookie sheet.                                              Pinch around the edges of the dough to make very slightly raised borders. Spread the onion mixture over both dough rounds. On 1 tart, arrange the anchovy fillets in a lattice pattern and set the olives within the squares. On the other tart, scatter the sliced tomatoes and basil. Sprinkle both tarts with salt and pepper and bake in the center of the oven for about 25 minutes, or until the crusts are golden around the edges and the toppings are bubbling and beginning to brown. Cut into wedges and serve hot or at room temperature.",Non-Veg,264.2,11.2,2.6,False,True,http://www.foodandwine.com/recipes/twin-pissaladieres,"['active', 'yeast', 'basil', 'torn', 'basil', 'torn', 'egg', 'garlic', 'cloves', 'olive', 'oil', 'gaeta', 'olives', 'onions', 'plum', 'tomatoes', '4', 'salt', 'packed', 'anchovies', 'salt', 'packed', 'anchovies', 'sea', 'salt', 'and', 'pepper', 'unbleached', 'flour', 'water']",3
170,Fusilli with Broccoli Rabe,https://img.spoonacular.com/recipes/367-556x370.jpg,"Steam the broccoli rabe until just tender, about 3 minutes. Coarsely chop.                                              Heat the olive oil in a large skillet. Add the garlic and cook over low heat until golden, about 3 minutes. Add the anchovies and crushed red pepper and cook for 1 minute. Add the broccoli rabe and cook, stirring, until the flavors are well blended, about 4 minutes. Season with salt and black pepper and keep warm.                                              Cook the fusilli in a large pot of boiling salted water, stirring occasionally, until al dente. Reserve 3 tablespoons of the pasta cooking liquid. Drain the fusilli and return it to the pot. Add the butter and toss well, then add the broccoli rabe and reserved liquid and toss again. Season with salt and black pepper and transfer to a warmed bowl. Serve at once, passing the cheese separately.",Non-Veg,552.1,22.1,5.9,False,False,http://www.foodandwine.com/recipes/fusilli-with-broccoli-rabe,"['anchovy', 'anchovy', 'broccoli', 'rabe', 'pepper', 'fusilli', 'garlic', 'cloves', 'olive', 'oil', 'pecorino', 'romano', 'cheese', 'salt', 'and', 'pepper', 'butter']",0
171,Bluefish with Grape Leaves,https://img.spoonacular.com/recipes/368-556x370.jpg,"Light a grill. Arrange 3 of the grape leaves so they're overlapping; repeat with the remaining leaves. Cut off the red flesh from the underside of each fish fillet. Set the fish on the leaves and season with salt and pepper. Enclose the fish in the leaves and brush each fillet with 1/2 tablespoon of the oil.                                              In a bowl, whisk the lemon juice with the garlic, anchovy, herbs and 3 tablespoons of the olive oil; season with salt and pepper.                                              In a small bowl, toss the grapes with the onion and the remaining 2 tablespoons of olive oil. Season with salt and pepper. In a perforated grill pan, grill the grapes and onions until softened, 4 minutes; transfer to the lemon dressing and toss.                                              Grill the wrapped fish over high heat, turning once, until the fish is just cooked, 6 minutes. Serve with the onions and grapes.",Non-Veg,501.2,24.2,6.3,True,True,http://www.foodandwine.com/recipes/bluefish-with-grape-leaves,"['anchovy', 'anchovy', 'bluefish', 'fillets', 'chives', 'garlic', 'clove', 'brined', 'grape', 'leaves', 'lemon', 'juice', 'olive', 'oil', 'parsley', 'grapes', 'onion', 'salt', 'and', 'pepper']",3
172,French Tapenade,https://img.spoonacular.com/recipes/370-556x370.jpg,"Soak the anchovy fillets in cold water for 10 minutes. Grind olives, anchovies, garlic and capers with a mincing knife.                                   Put these ingredients into a mortar and pound them until they become a soft paste (alternatively you can use a food processor).                                   Mix in oil and lemon juice. Ultimately add the thyme and laurel, and the freshly ground pepper according to taste.",Non-Veg,264.6,11.2,5.0,True,True,http://www.food52.com/recipes/8909_french_tapenade,"['anchovy', 'fillets', 'anchovy', 'fillets', 'olives', 'capers', 'garlic', 'clove', 'juice', 'of', 'lemon', 'extravergine', 'olive', 'oil', 'pepper', 'thyme', 'ground', 'laurel', 'ground', 'laurel']",3
173,Bagna Cauda Salad,https://img.spoonacular.com/recipes/371-556x370.jpg,"Cut the carrot into 3-inch-long, sliver thin batons (I first cut the carrot crosswise into 3-inch lengths; then I cut each piece in half lengthwise; finally, I cut each half lengthwise into 1/8-inch slivers.)                                  Using a mandoline, slice the radishes, turnips, and beets crosswise into the thinnest circles possible  they should be translucent.                                  Put the mandoline to work again: slice the butternut squash into the thinnest ribbons possible. Stop when you have 2 cups of ribbons.                                  Pull the brussels sprouts into leaves  you may need to trim the stem as you go to help the leaves separate, and remember that the leaves tend to wind around the sprout, so you want to pull them off the sprout in an unwinding fashion.                                  In a large mixing bowl, combine the carrots, radishes, turnips, squash, brussels sprouts, and parsley. (Leave aside the beets until the end; otherwise, they'll stain the rest of the vegetables.) Mix with your hands to disperse the vegetables. You should have 4 to 6 cups of vegetables.                                  In a mortar and pestle (or in a mini food processor or blender), pound the anchovy, garlic, and a large pinch of salt to a paste. Slowly beat in the lemon juice, followed by the olive oil, adding it in drops so the dressing has time to emulsify. Season to taste with salt, and add more lemon juice or oil if needed.                                  Pour half the dressing over the vegetables and blend with your hands so you can separate the vegetables (they like to cling to each other). Mix and mix and mix! Then taste and adjust seasoning. If its good, slip the beets into the salad (but don't really mix them in), and let the salad rest for at least 15 minutes before serving. Then eat, and feel virtuous.",Non-Veg,466.1,31.2,10.7,True,True,http://www.food52.com/recipes/9739_bagna_cauda_salad,"['anchovy', 'anchovy', 'beets', 'brussels', 'sprouts', 'butternut', 'squash', 'carrots', 'flat', 'leaf', 'parsley', 'leaves', 'garlic', 'cloves', 'lemon', 'juice', 'olive', 'oil', 'radishes', 'salt', 'turnips']",1
174,Leg of Lamb with Garlic Sauce,https://img.spoonacular.com/recipes/372-556x370.jpg,"Have your butcher prepare the meat by removing most of the fat and skin from the leg, and by removing most of the bare bone that protrudes from the leg.  If you want a slightly smaller leg, have him (or her!) shorten it from the hip end. When youre ready to roast it, trim lamb of any excess fat. Make many slits all over the lamb and insert a sliver of garlic and a piece of anchovy in each incision.  Finely chop the rosemary and thyme and mix the herbs with sea salt and pepper in a small bowl.  Rub the lamb with 2 tablespoons of olive oil, and the herb mixture. Let it stand for 1 to 2 hours.                                  Preheat oven to 425 F. Place the meat on a rack in a roasting pan, and cook, uncovered, for 20 minutes. Reduce the heat to 350  F., and cook for 40 to 45 minutes for medium-rare lamb.  The temperature on an instant-read thermometer should register 130 F.  (Thats how its supposed to be!)                                  To make the garlic sauce, heat the olive oil in a heavy skillet and cook the 24 garlic cloves slowly for about 10 minutes, or until they are soft (dont let the edges get crispor brown).  Set aside in a small bowl.                                  Remove lamb to a warmed platter, and turn off the oven. Cover with an aluminum foil tent and set it in the oven to keep warm while you prepare the sauce. On top the stove, put wine into the roasting pan, scraping the bottom well to loosen any brown bits or caramelized juices, and cook the wine over a high flame to reduce it by about one-third.  Add the reduced liquid to the garlic cloves.  Mash well with a fork, and add sea salt and pepper to taste.                                  Slice the lamb and grind some fresh black pepper over it. Spoon on the sauce, and sprinkle it all with freshly chopped parsley.",Non-Veg,439.4,24.4,4.0,True,True,http://www.food52.com/recipes/3814_leg_of_lamb_with_garlic_sauce,"['anchovy', 'anchovy', 'wine', 'rosemary', 'thyme', 'garlic', 'cloves', 'leg', 'of', 'lamb', 'olive', 'oil', 'olive', 'oil', 'parsley', 'sea', 'salt', 'and', 'pepper', 'garlic', 'cloves']",0
175,Buttermilk Bagna Cauda,https://img.spoonacular.com/recipes/373-556x370.jpg,"Drop the garlic and thyme into a small saucepan, add the butter and melt over low heat. Simmer the garlic (pulling the pan off the heat if the butter ever bubbles actively) until it's softened, about 10 minutes.                                  Add the anchovies and mash with a wooden spoon to dissolve them. Stir in the olive oil and let heat through. Season with salt -- taste as you go!                                  Whisk in the buttermilk. Serve with a platter of vegetables.",Non-Veg,230.5,8.4,5.5,True,False,http://www.food52.com/recipes/5108_buttermilk_bagna_cauda,"['anchovy', 'anchovy', 'buttermilk', 'buttermilk', 'garlic', 'cloves', 'olive', 'oil', 'lightly', 'blanched', 'vegetables', 'salt', 'thyme', 'butter', 'butter']",3
176,Green Goddess Dip With Endive,https://img.spoonacular.com/recipes/375-556x370.jpg,"Pulse avocado, buttermilk, herbs, anchovies, vinegar, 1/2 teaspoon salt, and 1/2 teaspoon pepper in a food processor until smooth. Transfer to a serving dish, and refrigerate for at least 1 hour. Serve with endive leaves.",Non-Veg,111.7,7.0,1.1,True,False,http://www.wholeliving.com/131644/green-goddess-dip-endive,"['anchovy', 'anchovy', 'belgian', 'endive', 'coarse', 'salt', 'and', 'pepper', 'herbs', 'hass', 'avocado', 'buttermilk', 'white', 'wine', 'vinegar']",0
177,Mixed Seafood Risotto,https://img.spoonacular.com/recipes/378-556x370.jpg,"Saut the shrimp and fish in olive oil in a medium saucepan or Dutch oven 3 to 5 minutes or until cooked through; remove from pan, and set aside. Place onion and garlic in pan. Cook, stirring constantly, 3 to 5 minutes or until tender. Add anchovies, and stir until dissolved. Add rice, and stir until well-coated and translucent, about 1 to 2 minutes.                                                                                                Add wine, and simmer until absorbed. Stir in the hot broth, 1 cup at a time, stirring frequently, until each addition has been absorbed. (The entire process should take 20 to 25 minutes.) Stir in tomato paste with the last addition of broth.                                                                                                Stir in reserved seafood, fresh basil, and cheese.",Non-Veg,247.2,18.6,4.8,True,False,http://www.myrecipes.com/recipe/mixed-seafood-risotto-10000001254914/,"['anchovy', 'anchovy', 'arborio', 'rice', 'arborio', 'rice', 'broth', 'wine', 'fish', 'basil', 'basil', 'garlic', 'clove', 'olive', 'oil', 'onion', 'romano', 'cheese', 'shrimp', 'tomato', 'paste']",3
178,Broccoli Rabe Saute With Chicken Sausage,https://img.spoonacular.com/recipes/380-556x370.jpg,"Directions                                                  Heat olive oil in a large skillet over medium heat; add garlic, anchovy fillets (if using), and crushed red pepper. Cook, stirring, until anchovy breaks down and garlic is just golden, 30 to 60 seconds.                                        Add chicken sausage; increase heat to medium-high. Cook, stirring occasionally, until opaque, 3 to 5 minutes.                                        Add raisins and as much broccoli rabe to skillet as will fit; season with salt and pepper. Cook, tossing and adding remaining broccoli rabe as there is room; cook until broccoli rabe is tender, 6 to 10 minutes (less if it has been blanched).                                        Season with salt, pepper, and lemon juice to taste. Serve.",Non-Veg,6860.2,60.2,118.9,True,True,http://www.wholeliving.com/132053/broccoli-rabe-saute-chicken-sausage,"['anchovy', 'anchovy', 'broccoli', 'rabe', 'chicken', 'sausage', 'coarse', 'salt', 'and', 'ground', 'pepper', 'pepper', 'garlic', 'cloves', 'golden', 'raisins', 'lemon', 'juice', 'olive', 'oil']",0
179,Steamed Artichokes With Salsa Verde,https://img.spoonacular.com/recipes/382-556x370.jpg,"Place rack on bottom of large pot. Add enough water just to touch rack. Bring to a boil. Place artichokes on rack in pot. Reduce heat to medium, cover, and steam artichokes until tender, adding more water if necessary, about 30 minutes.emailtwitterfacebookpinterestyummlymoreDont Miss a Recipe!Subscribe to receive new posts and monthly updates from L&OO:Send Me:New PostsNewsletter Previous PostGrecian Turkey SlidersNext Post Gnocchi with Spring Herb Pesto1 CommentLeave a Comment Leave a CommentName (required)Mail (required - will not be published)Website URLComment (required)Cancel ReplyWelcome to Love & Olive Oil, the culinary adventures of Lindsay and Taylor. We're all about food that is approachable but still impressive, unique and creative yet still true to its culinary roots.More about us Stay ConnectedSubscribe to receive new posts and/or monthly news & updates from L&OO in your email box:Send Me:New PostsNewsletterWant to stay up to date? Subscribe to the RSS Feed using the RSS reader of your choice. Might we suggest: amazon   barnes & noble quirk books   buy local amazon   barnes & noble quirk books   buy localFeatured & FavoritesStrawberry Limoncello Jamposted on June 4, 2015 inCanning, Condiments, PrintablesTriple Chocolate Cheesecakeposted on December 28, 2015 inCake, Chocolate, DessertsStrawberry Kiwi Tartletsposted on April 23, 2012 inDessertsBeef Taco Salad with Homemade Tortilla Bowlsposted on April 27, 2015 inMain Dishes, Meat, SaladsDouble Chocolate Peanut Butter Stuffed Cookies with Sea Saltposted on May 4, 2015 inChocolate, Cookies, DessertsLooking for Something?All content and photography is copyright Love & Olive Oil and Lindsay Landis, 2007-2015, unless otherwise noted.Material may not be duplicated or republished without permission. If you would like to share a recipe, we ask that you please re-write the recipe in your own words and provide appropriate credit with a link back to the original post. Thank you!Love & Olive Oil is a registered trademark of Purr Design, LLC.",Non-Veg,308.3,19.3,5.0,True,False,http://www.loveandoliveoil.com/2007/03/steamed-artichokes-with-salsa-verde.html,"['anchovy', 'anchovy', 'globe', 'artichokes', 'capers', 'fennel', 'seeds', 'tarragon', 'leaves', 'garlic', 'cloves', 'lemon', 'olive', 'oil', 'parsley', 'leaves', 'pepper', 'shallot', 'sherry', 'wine', 'vinegar', 'whipping', 'cream']",0
180,Artichokes with Anchoïade,https://img.spoonacular.com/recipes/383-556x370.jpg,"Squeeze the lemon halves into a large bowl of water. Working with 1 artichoke at a time, snap off the outer leaves. Using a sharp knife, cut off the top third of the artichoke. Peel the stem, leaving it long. Cut the artichoke in half lengthwise. Using a spoon, scrape out the furry choke. Cut each half lengthwise into thirds and add to the lemon water.                                              In a large saucepan, combine the 6 cups of water with the thyme, halved garlic, 2 tablespoons of the olive oil and the salt and bring to a boil. Add the artichokes, cover and simmer over low heat until tender, about 12 minutes. Drain and transfer to a large platter to cool.                                              In a blender, puree the chopped garlic with the anchovies, olives, vinegar and lemon juice. With the machine on, slowly pour in the remaining 1/2 cup olive oil and the grapeseed oil to make a smooth sauce. Scrape the dip into a bowl, stir in the lemon zest and season with pepper. Serve the artichokes with the anchoade at room temperature.",Non-Veg,305.4,12.6,5.8,True,True,http://www.foodandwine.com/recipes/artichokes-with-anchoiade,"['artichokes', 'garlic', 'cloves', '4', 'grapeseed', 'oil', 'olives', 'kosher', 'salt', 'lemon', 'lemon', 'zest', 'oil', 'packed', 'anchovies', 'olive', 'oil', 'pepper', 'sherry', 'vinegar', 'thyme', 'sprigs', 'water']",0
